crit_cn,language
Argentina,English
Argentina,Italian
Argentina,Japanese
Argentina,Korean
Argentina,Spanish
Argentina,Thai
Australia,Cantonese
Australia,English
Australia,French
Australia,Italian
Australia,Japanese
Australia,Persian
Australia,Portuguese
Australia,Russian
Australia,Spanish
Australia,Thai
Austria,English
Austria,French
Austria,German
Austria,Korean
Austria,Portuguese
Austria,Romanian
Austria,Spanish
Austria,Thai
Bangladesh,English
Bangladesh,Japanese
Bangladesh,Korean
Bangladesh,Persian
Bangladesh,Russian
Belgium,English
Belgium,French
Belgium,Hungarian
Belgium,Japanese
Belgium,Polish
Belgium,Spanish
Brazil,English
Brazil,Portuguese
Brazil,Russian
Brazil,Spanish
Canada,English
Canada,French
Canada,German
Canada,Japanese
Canada,Persian
Canada,Portuguese
Canada,Spanish
Canada,Thai
Chile,English
Chile,Italian
Chile,Japanese
Chile,Korean
Chile,Russian
Chile,Spanish
China,Cantonese
China,English
China,Mandarin
China,Persian
China,Portuguese
Colombia,English
Colombia,French
Colombia,Hungarian
Colombia,Indonesian
Colombia,Japanese
Colombia,Persian
Colombia,Spanish
Cuba,English
Cuba,Filipino
Cuba,French
Cuba,German
Cuba,Greek
Cuba,Hebrew
Cuba,Hungarian
Cuba,Indonesian
Cuba,Italian
Cuba,Kabuverdianu
Cuba,Korean
Cuba,Low German
Cuba,Polish
Cuba,Portuguese
Cuba,Russian
Cuba,Spanish
Cuba,Thai
Egypt,Arabic
Egypt,English
Egypt,French
Egypt,Indonesian
Egypt,Mandarin
Egypt,Persian
Egypt,Spanish
France,English
France,French
France,German
France,Hungarian
France,Italian
France,Japanese
France,Korean
France,Mandarin
France,Spanish
France,Swedish
France,Thai
France,Turkish
Germany,English
Germany,French
Germany,German
Germany,Hungarian
Germany,Indonesian
Germany,Italian
Germany,Japanese
Germany,Kabuverdianu
Germany,Romanian
Germany,Russian
Germany,Thai
Hong Kong,English
Hong Kong,French
Hong Kong,German
Hong Kong,Japanese
Hong Kong,Mandarin
Hong Kong,Persian
India,Bosnian
India,Cantonese
India,English
India,French
India,Hebrew
India,Hindi
India,Hungarian
India,Kannada
India,Mandarin
India,Persian
India,Spanish
Indonesia,English
Indonesia,French
Indonesia,Hungarian
Indonesia,Indonesian
Indonesia,Italian
Indonesia,Japanese
Indonesia,Persian
Indonesia,Spanish
Israel,Bambara
Israel,English
Israel,French
Israel,Hebrew
Israel,Japanese
Israel,Korean
Israel,Mandarin
Israel,Persian
Israel,Romanian
Israel,Turkish
Italy,Arabic
Italy,English
Italy,French
Italy,German
Italy,Italian
Italy,Japanese
Italy,Mandarin
Italy,Persian
Italy,Portuguese
Italy,Russian
Italy,Spanish
Italy,Thai
Japan,English
Japan,French
Japan,Japanese
Japan,Portuguese
Kazakhstan,English
Kazakhstan,French
Kazakhstan,Thai
Lebanon,Arabic
Lebanon,English
Lebanon,French
Lebanon,Hungarian
Lebanon,Japanese
Lebanon,Mandarin
Lebanon,Portuguese
Lebanon,Romanian
Lebanon,Russian
Lebanon,Spanish
Mexico,English
Mexico,French
Mexico,German
Mexico,Hungarian
Mexico,Indonesian
Mexico,Japanese
Mexico,Polish
Mexico,Spanish
Namibia,Arabic
Namibia,Bambara
Namibia,English
Namibia,French
Namibia,Hebrew
Namibia,Portuguese
Philippines,English
Philippines,Filipino
Philippines,Japanese
Philippines,Mandarin
Philippines,Spanish
Philippines,Thai
Qatar,English
Qatar,French
Qatar,Japanese
Qatar,Spanish
Senegal,English
Senegal,French
Senegal,Japanese
Senegal,Persian
Singapore,English
Singapore,Indonesian
Singapore,Japanese
Singapore,Korean
Singapore,Persian
Singapore,Thai
South Africa,English
South Africa,French
South Africa,German
South Africa,Swedish
South Korea,English
South Korea,French
South Korea,Korean
South Korea,Russian
South Korea,Spanish
Switzerland,English
Switzerland,German
Switzerland,Italian
Switzerland,Japanese
Switzerland,Persian
Switzerland,Turkish
Taiwan,English
Taiwan,Japanese
Taiwan,Mandarin
Taiwan,Persian
Taiwan,Thai
Turkey,Chinese
Turkey,English
Turkey,German
Turkey,Hungarian
Turkey,Japanese
Turkey,Spanish
Turkey,Swedish
UAE,Arabic
UAE,Bosnian
UAE,English
UAE,French
UAE,German
UAE,Korean
UAE,Kurdish
UAE,Portuguese
UAE,Spanish
UK,Bambara
UK,English
UK,French
UK,German
UK,Hebrew
UK,Hindi
UK,Hungarian
UK,Indonesian
UK,Italian
UK,Japanese
UK,Korean
UK,Mandarin
UK,Persian
UK,Portuguese
UK,Russian
UK,Spanish
UK,Swahili
UK,Swedish
UK,Thai
US,Arabic
US,Bambara
US,Cantonese
US,Chinese
US,Czech
US,Danish
US,English
US,French
US,German
US,Greek
US,Hebrew
US,Hungarian
US,Indonesian
US,Italian
US,Japanese
US,Korean
US,Mandarin
US,Maya
US,Nepali
US,Persian
US,Polish
US,Portuguese
US,Russian
US,Spanish
US,Swedish
US,Thai
US,Turkish
